Fold,NN_h*,Ridge_λ*,NN_Error,Ridge_Error,Baseline_Error
1,1,109.85411419875595,0.9101845605193228,0.8712717078502721,1.0111632670216486
2,1,109.85411419875595,0.8514354217022688,0.8392209352088544,1.1842502547722562
3,1,109.85411419875595,0.8757986301462463,0.8609951980633346,0.9040844770869496
4,1,109.85411419875595,0.9121250503597909,0.8940348412511756,0.6192609084661249
5,1,71.96856730011521,0.8550524143614406,0.8418596373635578,1.0655255234355863
6,1,109.85411419875595,0.8689626894100859,0.8544137170245335,1.0797300386005864
7,1,109.85411419875595,0.8499645094100338,0.8292836635460571,1.3569403949739887
8,2,167.683293681101,0.8920515406023546,0.8854005759236505,0.7366307710086601
9,1,109.85411419875595,0.8660173022248034,0.8602075447233967,0.951900363083661
10,1,109.85411419875595,0.8494927689912881,0.8360301161801994,1.15094420710003
